Country;Percentile Label;Percentile;Year;Value
East Asia;Bottom 50%;p0p50;1952;
East Asia;Bottom 50%;p0p50;1953;
East Asia;Bottom 50%;p0p50;1954;
East Asia;Bottom 50%;p0p50;1955;
East Asia;Bottom 50%;p0p50;1956;
East Asia;Bottom 50%;p0p50;1957;
East Asia;Bottom 50%;p0p50;1958;
East Asia;Bottom 50%;p0p50;1959;
East Asia;Bottom 50%;p0p50;1960;0.1851
East Asia;Bottom 50%;p0p50;1961;
East Asia;Bottom 50%;p0p50;1962;
East Asia;Bottom 50%;p0p50;1963;
East Asia;Bottom 50%;p0p50;1964;
East Asia;Bottom 50%;p0p50;1965;
East Asia;Bottom 50%;p0p50;1966;
East Asia;Bottom 50%;p0p50;1967;
East Asia;Bottom 50%;p0p50;1968;
East Asia;Bottom 50%;p0p50;1969;
East Asia;Bottom 50%;p0p50;1970;0.1433
East Asia;Bottom 50%;p0p50;1971;
East Asia;Bottom 50%;p0p50;1972;
East Asia;Bottom 50%;p0p50;1973;
East Asia;Bottom 50%;p0p50;1974;
East Asia;Bottom 50%;p0p50;1975;
East Asia;Bottom 50%;p0p50;1976;
East Asia;Bottom 50%;p0p50;1977;
East Asia;Bottom 50%;p0p50;1978;
East Asia;Bottom 50%;p0p50;1979;
East Asia;Bottom 50%;p0p50;1980;0.1099
East Asia;Bottom 50%;p0p50;1981;0.1095
East Asia;Bottom 50%;p0p50;1982;0.1109
East Asia;Bottom 50%;p0p50;1983;0.1133
East Asia;Bottom 50%;p0p50;1984;0.1157
East Asia;Bottom 50%;p0p50;1985;0.1161
East Asia;Bottom 50%;p0p50;1986;0.1109
East Asia;Bottom 50%;p0p50;1987;0.1089
East Asia;Bottom 50%;p0p50;1988;0.1063
East Asia;Bottom 50%;p0p50;1989;0.1013
East Asia;Bottom 50%;p0p50;1990;0.0985
East Asia;Bottom 50%;p0p50;1991;0.0945
East Asia;Bottom 50%;p0p50;1992;0.095
East Asia;Bottom 50%;p0p50;1993;0.0955
East Asia;Bottom 50%;p0p50;1994;0.0967
East Asia;Bottom 50%;p0p50;1995;0.1021
East Asia;Bottom 50%;p0p50;1996;0.1042
East Asia;Bottom 50%;p0p50;1997;0.1064
East Asia;Bottom 50%;p0p50;1998;0.1073
East Asia;Bottom 50%;p0p50;1999;0.1059
East Asia;Bottom 50%;p0p50;2000;0.1011
East Asia;Bottom 50%;p0p50;2001;0.1
East Asia;Bottom 50%;p0p50;2002;0.0968
East Asia;Bottom 50%;p0p50;2003;0.0971
East Asia;Bottom 50%;p0p50;2004;0.0996
East Asia;Bottom 50%;p0p50;2005;0.0979
East Asia;Bottom 50%;p0p50;2006;0.1034
East Asia;Bottom 50%;p0p50;2007;0.1048
East Asia;Bottom 50%;p0p50;2008;0.1084
East Asia;Bottom 50%;p0p50;2009;0.1114
East Asia;Bottom 50%;p0p50;2010;0.1108
East Asia;Bottom 50%;p0p50;2011;0.1148
East Asia;Bottom 50%;p0p50;2012;0.1208
East Asia;Bottom 50%;p0p50;2013;0.1167
East Asia;Bottom 50%;p0p50;2014;0.1223
East Asia;Bottom 50%;p0p50;2015;0.1235
East Asia;Bottom 50%;p0p50;2016;0.1249
East Asia;Bottom 50%;p0p50;2017;0.1245
East Asia;Bottom 50%;p0p50;2018;0.1255
East Asia;Bottom 50%;p0p50;2019;0.1269
East Asia;Bottom 50%;p0p50;2020;0.1258
East Asia;Bottom 50%;p0p50;2021;0.1261
East Asia;Bottom 50%;p0p50;2022;0.1239
East Asia;Bottom 50%;p0p50;2023;0.1243
Eastern Europe;Top 1%;p99p100;1950;0.0836
Eastern Europe;Top 1%;p99p100;1951;
Eastern Europe;Top 1%;p99p100;1952;
Eastern Europe;Top 1%;p99p100;1953;
Eastern Europe;Top 1%;p99p100;1954;
Eastern Europe;Top 1%;p99p100;1955;
Eastern Europe;Top 1%;p99p100;1956;
Eastern Europe;Top 1%;p99p100;1957;
Eastern Europe;Top 1%;p99p100;1958;
Eastern Europe;Top 1%;p99p100;1959;
Eastern Europe;Top 1%;p99p100;1960;0.0756
Eastern Europe;Top 1%;p99p100;1961;
Eastern Europe;Top 1%;p99p100;1962;
Eastern Europe;Top 1%;p99p100;1963;
Eastern Europe;Top 1%;p99p100;1964;
Eastern Europe;Top 1%;p99p100;1965;
Eastern Europe;Top 1%;p99p100;1966;
Eastern Europe;Top 1%;p99p100;1967;
Eastern Europe;Top 1%;p99p100;1968;
Eastern Europe;Top 1%;p99p100;1969;
Eastern Europe;Top 1%;p99p100;1970;0.0678
Eastern Europe;Top 1%;p99p100;1971;
Eastern Europe;Top 1%;p99p100;1972;
Eastern Europe;Top 1%;p99p100;1973;
Eastern Europe;Top 1%;p99p100;1974;
Eastern Europe;Top 1%;p99p100;1975;
Eastern Europe;Top 1%;p99p100;1976;
Eastern Europe;Top 1%;p99p100;1977;
Eastern Europe;Top 1%;p99p100;1978;
Eastern Europe;Top 1%;p99p100;1979;
Eastern Europe;Top 1%;p99p100;1980;0.0558
Eastern Europe;Top 1%;p99p100;1981;0.0574
Eastern Europe;Top 1%;p99p100;1982;0.0577
Eastern Europe;Top 1%;p99p100;1983;0.0574
Eastern Europe;Top 1%;p99p100;1984;0.0582
Eastern Europe;Top 1%;p99p100;1985;0.0574
Eastern Europe;Top 1%;p99p100;1986;0.0574
Eastern Europe;Top 1%;p99p100;1987;0.0578
Eastern Europe;Top 1%;p99p100;1988;0.0577
Eastern Europe;Top 1%;p99p100;1989;0.0604
Eastern Europe;Top 1%;p99p100;1990;0.0676
Eastern Europe;Top 1%;p99p100;1991;0.0753
Eastern Europe;Top 1%;p99p100;1992;0.0825
Eastern Europe;Top 1%;p99p100;1993;0.0886
Eastern Europe;Top 1%;p99p100;1994;0.0961
Eastern Europe;Top 1%;p99p100;1995;0.1068
Eastern Europe;Top 1%;p99p100;1996;0.1009
Eastern Europe;Top 1%;p99p100;1997;0.1028
Eastern Europe;Top 1%;p99p100;1998;0.109
Eastern Europe;Top 1%;p99p100;1999;0.1095
Eastern Europe;Top 1%;p99p100;2000;0.1072
Eastern Europe;Top 1%;p99p100;2001;0.1056
Eastern Europe;Top 1%;p99p100;2002;0.1093
Eastern Europe;Top 1%;p99p100;2003;0.1106
Eastern Europe;Top 1%;p99p100;2004;0.1205
Eastern Europe;Top 1%;p99p100;2005;0.1258
Eastern Europe;Top 1%;p99p100;2006;0.1292
Eastern Europe;Top 1%;p99p100;2007;0.1395
Eastern Europe;Top 1%;p99p100;2008;0.1343
Eastern Europe;Top 1%;p99p100;2009;0.1296
Eastern Europe;Top 1%;p99p100;2010;0.1244
Eastern Europe;Top 1%;p99p100;2011;0.1267
Eastern Europe;Top 1%;p99p100;2012;0.1322
Eastern Europe;Top 1%;p99p100;2013;0.1296
Eastern Europe;Top 1%;p99p100;2014;0.1366
Eastern Europe;Top 1%;p99p100;2015;0.1389
Eastern Europe;Top 1%;p99p100;2016;0.1304
Eastern Europe;Top 1%;p99p100;2017;0.1308
Eastern Europe;Top 1%;p99p100;2018;0.1304
Eastern Europe;Top 1%;p99p100;2019;0.1289
Eastern Europe;Top 1%;p99p100;2020;0.1335
Eastern Europe;Top 1%;p99p100;2021;0.1316
Eastern Europe;Top 1%;p99p100;2022;0.131
Eastern Europe;Top 1%;p99p100;2023;0.133
Eastern Europe;Bottom 50%;p0p50;1950;0.24
Eastern Europe;Bottom 50%;p0p50;1951;
Eastern Europe;Bottom 50%;p0p50;1952;
Eastern Europe;Bottom 50%;p0p50;1953;
Eastern Europe;Bottom 50%;p0p50;1954;
Eastern Europe;Bottom 50%;p0p50;1955;
Eastern Europe;Bottom 50%;p0p50;1956;
Eastern Europe;Bottom 50%;p0p50;1957;
Eastern Europe;Bottom 50%;p0p50;1958;
Eastern Europe;Bottom 50%;p0p50;1959;
Eastern Europe;Bottom 50%;p0p50;1960;0.2406
Eastern Europe;Bottom 50%;p0p50;1961;
Eastern Europe;Bottom 50%;p0p50;1962;
Eastern Europe;Bottom 50%;p0p50;1963;
Eastern Europe;Bottom 50%;p0p50;1964;
Eastern Europe;Bottom 50%;p0p50;1965;
Eastern Europe;Bottom 50%;p0p50;1966;
Eastern Europe;Bottom 50%;p0p50;1967;
Eastern Europe;Bottom 50%;p0p50;1968;
Eastern Europe;Bottom 50%;p0p50;1969;
Eastern Europe;Bottom 50%;p0p50;1970;0.266
Eastern Europe;Bottom 50%;p0p50;1971;
Eastern Europe;Bottom 50%;p0p50;1972;
Eastern Europe;Bottom 50%;p0p50;1973;
Eastern Europe;Bottom 50%;p0p50;1974;
Eastern Europe;Bottom 50%;p0p50;1975;
Eastern Europe;Bottom 50%;p0p50;1976;
Eastern Europe;Bottom 50%;p0p50;1977;
Eastern Europe;Bottom 50%;p0p50;1978;
Eastern Europe;Bottom 50%;p0p50;1979;
Eastern Europe;Bottom 50%;p0p50;1980;0.2266
Eastern Europe;Bottom 50%;p0p50;1981;0.2233
Eastern Europe;Bottom 50%;p0p50;1982;0.2216
Eastern Europe;Bottom 50%;p0p50;1983;0.2235
Eastern Europe;Bottom 50%;p0p50;1984;0.2235
Eastern Europe;Bottom 50%;p0p50;1985;0.2243
Eastern Europe;Bottom 50%;p0p50;1986;0.2243
Eastern Europe;Bottom 50%;p0p50;1987;0.2245
Eastern Europe;Bottom 50%;p0p50;1988;0.2269
Eastern Europe;Bottom 50%;p0p50;1989;0.2223
Eastern Europe;Bottom 50%;p0p50;1990;0.2124
Eastern Europe;Bottom 50%;p0p50;1991;0.2098
Eastern Europe;Bottom 50%;p0p50;1992;0.2037
Eastern Europe;Bottom 50%;p0p50;1993;0.1975
Eastern Europe;Bottom 50%;p0p50;1994;0.1918
Eastern Europe;Bottom 50%;p0p50;1995;0.1836
Eastern Europe;Bottom 50%;p0p50;1996;0.1845
Eastern Europe;Bottom 50%;p0p50;1997;0.1863
Eastern Europe;Bottom 50%;p0p50;1998;0.1869
Eastern Europe;Bottom 50%;p0p50;1999;0.1827
Eastern Europe;Bottom 50%;p0p50;2000;0.1815
Eastern Europe;Bottom 50%;p0p50;2001;0.1835
Eastern Europe;Bottom 50%;p0p50;2002;0.1812
Eastern Europe;Bottom 50%;p0p50;2003;0.1766
Eastern Europe;Bottom 50%;p0p50;2004;0.1782
Eastern Europe;Bottom 50%;p0p50;2005;0.1763
Eastern Europe;Bottom 50%;p0p50;2006;0.1755
Eastern Europe;Bottom 50%;p0p50;2007;0.1731
Eastern Europe;Bottom 50%;p0p50;2008;0.1773
Eastern Europe;Bottom 50%;p0p50;2009;0.181
Eastern Europe;Bottom 50%;p0p50;2010;0.1827
Eastern Europe;Bottom 50%;p0p50;2011;0.1817
Eastern Europe;Bottom 50%;p0p50;2012;0.1802
Eastern Europe;Bottom 50%;p0p50;2013;0.1827
Eastern Europe;Bottom 50%;p0p50;2014;0.1792
Eastern Europe;Bottom 50%;p0p50;2015;0.1781
Eastern Europe;Bottom 50%;p0p50;2016;0.181
Eastern Europe;Bottom 50%;p0p50;2017;0.1808
Eastern Europe;Bottom 50%;p0p50;2018;0.1767
Eastern Europe;Bottom 50%;p0p50;2019;0.1774
Eastern Europe;Bottom 50%;p0p50;2020;0.1769
Eastern Europe;Bottom 50%;p0p50;2021;0.1794
Eastern Europe;Bottom 50%;p0p50;2022;0.1796
Eastern Europe;Bottom 50%;p0p50;2023;0.1797
North Africa;Top 1%;p99p100;1950;
North Africa;Top 1%;p99p100;1951;
North Africa;Top 1%;p99p100;1952;
North Africa;Top 1%;p99p100;1953;
North Africa;Top 1%;p99p100;1954;
North Africa;Top 1%;p99p100;1955;
North Africa;Top 1%;p99p100;1956;
North Africa;Top 1%;p99p100;1957;
North Africa;Top 1%;p99p100;1958;
North Africa;Top 1%;p99p100;1959;
North Africa;Top 1%;p99p100;1960;
North Africa;Top 1%;p99p100;1961;
North Africa;Top 1%;p99p100;1962;
North Africa;Top 1%;p99p100;1963;
North Africa;Top 1%;p99p100;1964;
North Africa;Top 1%;p99p100;1965;
North Africa;Top 1%;p99p100;1966;
North Africa;Top 1%;p99p100;1967;
North Africa;Top 1%;p99p100;1968;
North Africa;Top 1%;p99p100;1969;
North Africa;Top 1%;p99p100;1970;
North Africa;Top 1%;p99p100;1971;
North Africa;Top 1%;p99p100;1972;
North Africa;Top 1%;p99p100;1973;
North Africa;Top 1%;p99p100;1974;
North Africa;Top 1%;p99p100;1975;
North Africa;Top 1%;p99p100;1976;
North Africa;Top 1%;p99p100;1977;
North Africa;Top 1%;p99p100;1978;
North Africa;Top 1%;p99p100;1979;
North Africa;Top 1%;p99p100;1980;0.225
North Africa;Top 1%;p99p100;1981;0.2113
North Africa;Top 1%;p99p100;1982;0.2081
North Africa;Top 1%;p99p100;1983;0.2015
North Africa;Top 1%;p99p100;1984;0.1963
North Africa;Top 1%;p99p100;1985;0.1973
North Africa;Top 1%;p99p100;1986;0.1926
North Africa;Top 1%;p99p100;1987;0.1875
North Africa;Top 1%;p99p100;1988;0.1865
North Africa;Top 1%;p99p100;1989;0.1864
North Africa;Top 1%;p99p100;1990;0.1856
North Africa;Top 1%;p99p100;1991;0.1859
North Africa;Top 1%;p99p100;1992;0.1875
North Africa;Top 1%;p99p100;1993;0.1855
North Africa;Top 1%;p99p100;1994;0.1854
North Africa;Top 1%;p99p100;1995;0.1854
North Africa;Top 1%;p99p100;1996;0.1899
North Africa;Top 1%;p99p100;1997;0.1952
North Africa;Top 1%;p99p100;1998;0.2003
North Africa;Top 1%;p99p100;1999;0.2055
North Africa;Top 1%;p99p100;2000;0.2042
North Africa;Top 1%;p99p100;2001;0.2027
North Africa;Top 1%;p99p100;2002;0.2009
North Africa;Top 1%;p99p100;2003;0.199
North Africa;Top 1%;p99p100;2004;0.1981
North Africa;Top 1%;p99p100;2005;0.201
North Africa;Top 1%;p99p100;2006;0.1996
North Africa;Top 1%;p99p100;2007;0.202
North Africa;Top 1%;p99p100;2008;0.2017
North Africa;Top 1%;p99p100;2009;0.1947
North Africa;Top 1%;p99p100;2010;0.1885
North Africa;Top 1%;p99p100;2011;0.1902
North Africa;Top 1%;p99p100;2012;0.2046
North Africa;Top 1%;p99p100;2013;0.2128
North Africa;Top 1%;p99p100;2014;0.2199
North Africa;Top 1%;p99p100;2015;0.2249
North Africa;Top 1%;p99p100;2016;0.2212
North Africa;Top 1%;p99p100;2017;0.2177
North Africa;Top 1%;p99p100;2018;0.2194
North Africa;Top 1%;p99p100;2019;0.2211
North Africa;Top 1%;p99p100;2020;0.2106
North Africa;Top 1%;p99p100;2021;0.2125
North Africa;Top 1%;p99p100;2022;0.2131
North Africa;Top 1%;p99p100;2023;0.2135
North Africa;Bottom 50%;p0p50;1950;
North Africa;Bottom 50%;p0p50;1951;
North Africa;Bottom 50%;p0p50;1952;
North Africa;Bottom 50%;p0p50;1953;
North Africa;Bottom 50%;p0p50;1954;
North Africa;Bottom 50%;p0p50;1955;
North Africa;Bottom 50%;p0p50;1956;
North Africa;Bottom 50%;p0p50;1957;
North Africa;Bottom 50%;p0p50;1958;
North Africa;Bottom 50%;p0p50;1959;
North Africa;Bottom 50%;p0p50;1960;
North Africa;Bottom 50%;p0p50;1961;
North Africa;Bottom 50%;p0p50;1962;
North Africa;Bottom 50%;p0p50;1963;
North Africa;Bottom 50%;p0p50;1964;
North Africa;Bottom 50%;p0p50;1965;
North Africa;Bottom 50%;p0p50;1966;
North Africa;Bottom 50%;p0p50;1967;
North Africa;Bottom 50%;p0p50;1968;
North Africa;Bottom 50%;p0p50;1969;
North Africa;Bottom 50%;p0p50;1970;
North Africa;Bottom 50%;p0p50;1971;
North Africa;Bottom 50%;p0p50;1972;
North Africa;Bottom 50%;p0p50;1973;
North Africa;Bottom 50%;p0p50;1974;
North Africa;Bottom 50%;p0p50;1975;
North Africa;Bottom 50%;p0p50;1976;
North Africa;Bottom 50%;p0p50;1977;
North Africa;Bottom 50%;p0p50;1978;
North Africa;Bottom 50%;p0p50;1979;
North Africa;Bottom 50%;p0p50;1980;0.0845
North Africa;Bottom 50%;p0p50;1981;0.0872
North Africa;Bottom 50%;p0p50;1982;0.0874
North Africa;Bottom 50%;p0p50;1983;0.0863
North Africa;Bottom 50%;p0p50;1984;0.0866
North Africa;Bottom 50%;p0p50;1985;0.0881
North Africa;Bottom 50%;p0p50;1986;0.0939
North Africa;Bottom 50%;p0p50;1987;0.0976
North Africa;Bottom 50%;p0p50;1988;0.098
North Africa;Bottom 50%;p0p50;1989;0.099
North Africa;Bottom 50%;p0p50;1990;0.1012
North Africa;Bottom 50%;p0p50;1991;0.1035
North Africa;Bottom 50%;p0p50;1992;0.1031
North Africa;Bottom 50%;p0p50;1993;0.1065
North Africa;Bottom 50%;p0p50;1994;0.105
North Africa;Bottom 50%;p0p50;1995;0.1019
North Africa;Bottom 50%;p0p50;1996;0.1045
North Africa;Bottom 50%;p0p50;1997;0.1016
North Africa;Bottom 50%;p0p50;1998;0.1032
North Africa;Bottom 50%;p0p50;1999;0.1023
North Africa;Bottom 50%;p0p50;2000;0.1021
North Africa;Bottom 50%;p0p50;2001;0.1027
North Africa;Bottom 50%;p0p50;2002;0.1036
North Africa;Bottom 50%;p0p50;2003;0.1039
North Africa;Bottom 50%;p0p50;2004;0.104
North Africa;Bottom 50%;p0p50;2005;0.1026
North Africa;Bottom 50%;p0p50;2006;0.1027
North Africa;Bottom 50%;p0p50;2007;0.1026
North Africa;Bottom 50%;p0p50;2008;0.1058
North Africa;Bottom 50%;p0p50;2009;0.1097
North Africa;Bottom 50%;p0p50;2010;0.1104
North Africa;Bottom 50%;p0p50;2011;0.1122
North Africa;Bottom 50%;p0p50;2012;0.105
North Africa;Bottom 50%;p0p50;2013;0.1063
North Africa;Bottom 50%;p0p50;2014;0.1082
North Africa;Bottom 50%;p0p50;2015;0.1079
North Africa;Bottom 50%;p0p50;2016;0.1083
North Africa;Bottom 50%;p0p50;2017;0.1085
North Africa;Bottom 50%;p0p50;2018;0.1077
North Africa;Bottom 50%;p0p50;2019;0.1076
North Africa;Bottom 50%;p0p50;2020;0.105
North Africa;Bottom 50%;p0p50;2021;0.1031
North Africa;Bottom 50%;p0p50;2022;0.1011
North Africa;Bottom 50%;p0p50;2023;0.0975
North America;Top 1%;p99p100;1950;0.161
North America;Top 1%;p99p100;1951;
North America;Top 1%;p99p100;1952;
North America;Top 1%;p99p100;1953;
North America;Top 1%;p99p100;1954;
North America;Top 1%;p99p100;1955;
North America;Top 1%;p99p100;1956;
North America;Top 1%;p99p100;1957;
North America;Top 1%;p99p100;1958;
North America;Top 1%;p99p100;1959;
North America;Top 1%;p99p100;1960;0.1227
North America;Top 1%;p99p100;1961;
North America;Top 1%;p99p100;1962;
North America;Top 1%;p99p100;1963;
North America;Top 1%;p99p100;1964;
North America;Top 1%;p99p100;1965;
North America;Top 1%;p99p100;1966;
North America;Top 1%;p99p100;1967;
North America;Top 1%;p99p100;1968;
North America;Top 1%;p99p100;1969;
North America;Top 1%;p99p100;1970;0.1075
North America;Top 1%;p99p100;1971;
North America;Top 1%;p99p100;1972;
North America;Top 1%;p99p100;1973;
North America;Top 1%;p99p100;1974;
North America;Top 1%;p99p100;1975;
North America;Top 1%;p99p100;1976;
North America;Top 1%;p99p100;1977;
North America;Top 1%;p99p100;1978;
North America;Top 1%;p99p100;1979;
North America;Top 1%;p99p100;1980;0.1025
North America;Top 1%;p99p100;1981;0.105
North America;Top 1%;p99p100;1982;0.1082
North America;Top 1%;p99p100;1983;0.1136
North America;Top 1%;p99p100;1984;0.12
North America;Top 1%;p99p100;1985;0.1211
North America;Top 1%;p99p100;1986;0.1183
North America;Top 1%;p99p100;1987;0.1308
North America;Top 1%;p99p100;1988;0.1501
North America;Top 1%;p99p100;1989;0.1452
North America;Top 1%;p99p100;1990;0.1457
North America;Top 1%;p99p100;1991;0.1354
North America;Top 1%;p99p100;1992;0.1458
North America;Top 1%;p99p100;1993;0.141
North America;Top 1%;p99p100;1994;0.1395
North America;Top 1%;p99p100;1995;0.1444
North America;Top 1%;p99p100;1996;0.1519
North America;Top 1%;p99p100;1997;0.1594
North America;Top 1%;p99p100;1998;0.1626
North America;Top 1%;p99p100;1999;0.1671
North America;Top 1%;p99p100;2000;0.1728
North America;Top 1%;p99p100;2001;0.1654
North America;Top 1%;p99p100;2002;0.1606
North America;Top 1%;p99p100;2003;0.1627
North America;Top 1%;p99p100;2004;0.1699
North America;Top 1%;p99p100;2005;0.1797
North America;Top 1%;p99p100;2006;0.1842
North America;Top 1%;p99p100;2007;0.1827
North America;Top 1%;p99p100;2008;0.1782
North America;Top 1%;p99p100;2009;0.1659
North America;Top 1%;p99p100;2010;0.1777
North America;Top 1%;p99p100;2011;0.1795
North America;Top 1%;p99p100;2012;0.1936
North America;Top 1%;p99p100;2013;0.1831
North America;Top 1%;p99p100;2014;0.1884
North America;Top 1%;p99p100;2015;0.1879
North America;Top 1%;p99p100;2016;0.1855
North America;Top 1%;p99p100;2017;0.1896
North America;Top 1%;p99p100;2018;0.1913
North America;Top 1%;p99p100;2019;0.1895
North America;Top 1%;p99p100;2020;0.181
North America;Top 1%;p99p100;2021;0.1976
North America;Top 1%;p99p100;2022;0.2062
North America;Top 1%;p99p100;2023;0.2063
North America;Bottom 50%;p0p50;1950;0.1773
North America;Bottom 50%;p0p50;1951;
North America;Bottom 50%;p0p50;1952;
North America;Bottom 50%;p0p50;1953;
North America;Bottom 50%;p0p50;1954;
North America;Bottom 50%;p0p50;1955;
North America;Bottom 50%;p0p50;1956;
North America;Bottom 50%;p0p50;1957;
North America;Bottom 50%;p0p50;1958;
North America;Bottom 50%;p0p50;1959;
North America;Bottom 50%;p0p50;1960;0.1836
North America;Bottom 50%;p0p50;1961;
North America;Bottom 50%;p0p50;1962;
North America;Bottom 50%;p0p50;1963;
North America;Bottom 50%;p0p50;1964;
North America;Bottom 50%;p0p50;1965;
North America;Bottom 50%;p0p50;1966;
North America;Bottom 50%;p0p50;1967;
North America;Bottom 50%;p0p50;1968;
North America;Bottom 50%;p0p50;1969;
North America;Bottom 50%;p0p50;1970;0.1772
North America;Bottom 50%;p0p50;1971;
North America;Bottom 50%;p0p50;1972;
North America;Bottom 50%;p0p50;1973;
North America;Bottom 50%;p0p50;1974;
North America;Bottom 50%;p0p50;1975;
North America;Bottom 50%;p0p50;1976;
North America;Bottom 50%;p0p50;1977;
North America;Bottom 50%;p0p50;1978;
North America;Bottom 50%;p0p50;1979;
North America;Bottom 50%;p0p50;1980;0.2029
North America;Bottom 50%;p0p50;1981;0.199
North America;Bottom 50%;p0p50;1982;0.1944
North America;Bottom 50%;p0p50;1983;0.1866
North America;Bottom 50%;p0p50;1984;0.1832
North America;Bottom 50%;p0p50;1985;0.1818
North America;Bottom 50%;p0p50;1986;0.1798
North America;Bottom 50%;p0p50;1987;0.1769
North America;Bottom 50%;p0p50;1988;0.172
North America;Bottom 50%;p0p50;1989;0.1732
North America;Bottom 50%;p0p50;1990;0.172
North America;Bottom 50%;p0p50;1991;0.1702
North America;Bottom 50%;p0p50;1992;0.1631
North America;Bottom 50%;p0p50;1993;0.1625
North America;Bottom 50%;p0p50;1994;0.163
North America;Bottom 50%;p0p50;1995;0.1594
North America;Bottom 50%;p0p50;1996;0.155
North America;Bottom 50%;p0p50;1997;0.1527
North America;Bottom 50%;p0p50;1998;0.1529
North America;Bottom 50%;p0p50;1999;0.1516
North America;Bottom 50%;p0p50;2000;0.1508
North America;Bottom 50%;p0p50;2001;0.1532
North America;Bottom 50%;p0p50;2002;0.1541
North America;Bottom 50%;p0p50;2003;0.1517
North America;Bottom 50%;p0p50;2004;0.1488
North America;Bottom 50%;p0p50;2005;0.1453
North America;Bottom 50%;p0p50;2006;0.1431
North America;Bottom 50%;p0p50;2007;0.1456
North America;Bottom 50%;p0p50;2008;0.1458
North America;Bottom 50%;p0p50;2009;0.1453
North America;Bottom 50%;p0p50;2010;0.1416
North America;Bottom 50%;p0p50;2011;0.1387
North America;Bottom 50%;p0p50;2012;0.1346
North America;Bottom 50%;p0p50;2013;0.1375
North America;Bottom 50%;p0p50;2014;0.1343
North America;Bottom 50%;p0p50;2015;0.1348
North America;Bottom 50%;p0p50;2016;0.1327
North America;Bottom 50%;p0p50;2017;0.1377
North America;Bottom 50%;p0p50;2018;0.1365
North America;Bottom 50%;p0p50;2019;0.1387
North America;Bottom 50%;p0p50;2020;0.1393
